Skill_ID,Skill_Name,SkillType,Category,Subcategory
BGS9F628512D08E9813,Skill 40,Certification,Customer Service,Operational Risk
BGSE6469947071267CB,Skill 41,Common Skill,Customer Service,Market Risk
BGSF6DC080BDE4B8370,Skill 42,Common Skill,Customer Service,Reporting
BGS582C65F09AD8BA07,Skill 43,Common Skill,Project Management,Policy Management
BGS24BA9472F80BAA08,Skill 44,Certification,Leadership,Business Intelligence
BGS88CB12FD5BD96332,Skill 45,Specialized Skill,Risk Management,Service Delivery
BGS9AED0C3DB70CD76A,Skill 46,Common Skill,Customer Service,Resource Planning
BGS2C8B432A5B6C872A,Skill 47,Specialized Skill,Risk Management,Data Engineering
BGSFE22A2E813EB1AAB,Skill 48,Common Skill,Problem Solving,Regulatory Compliance
BGSEE61E067B7E15C07,Skill 49,Common Skill,Data Analysis,Reporting
BGSFED339B7DF4ABB1F,Skill 50,Specialized Skill,Project Management,Service Delivery
BGS4B4932D98FD9FBEC,Skill 51,Specialized Skill,Compliance,Statistical Analysis
BGSEEA7EECE18BB4F1D,Skill 52,Specialized Skill,Communication,Innovation
BGS50E474A65C01288A,Skill 53,Specialized Skill,Data Analysis,Reporting
BGS52A1184A523F6C12,Skill 54,Specialized Skill,Leadership,Policy Management
BGSEF4E18B0CC407CCE,Skill 55,Common Skill,Compliance,Account Management
BGS6FF40D74E58748CD,Skill 56,Common Skill,Customer Service,Service Delivery
BGS627A495F64394018,Skill 57,Specialized Skill,Communication,Decision Making
BGS2A757D19E8BE4C00,Skill 58,Common Skill,Technology,Critical Thinking
BGS7B3AA9B8A9366131,Skill 59,Certification,Leadership,Compliance Risk
BGSF6311B8E2A4C5D26,Skill 60,Common Skill,Customer Service,Software Development
BGS4B3F106F3412346D,Skill 61,Certification,Compliance,Client Support
BGS42608B3B45A48902,Skill 62,Specialized Skill,Leadership,Critical Thinking
BGSB42BA99672094EE4,Skill 63,Specialized Skill,Data Analysis,Policy Management
BGS753D87295FDDC4F9,Skill 64,Common Skill,Data Analysis,Reporting
BGS32DBD6E0B672ACD5,Skill 65,Common Skill,Communication,Data Engineering
BGS8ABCDA831D428F0C,Skill 66,Common Skill,Risk Management,Operational Risk
BGSF8FD5B5A9CDE1795,Skill 67,Specialized Skill,Finance,Statistical Analysis
BGS25C41C9F5AC6D7A4,Skill 68,Common Skill,Project Management,Account Management
BGS47EE801698C7CC17,Skill 69,Common Skill,Communication,Compliance Risk
BGSF69E83C71FAFCF0C,Skill 70,Certification,Project Management,Data Engineering
BGS8FD512224D49A660,Skill 71,Specialized Skill,Compliance,Presentation
BGS5F57C5E952D1924A,Skill 72,Certification,Problem Solving,Market Risk
BGSA5CFC1F97B06F756,Skill 73,Specialized Skill,Risk Management,Infrastructure
BGSC83EBDC5340ED9AE,Skill 74,Specialized Skill,Compliance,Market Risk
BGS7265804E9EACA8AF,Skill 75,Specialized Skill,Project Management,Strategic Planning
BGS8EB44311AEF79BEF,Skill 76,Common Skill,Compliance,Investment Management
BGS27B366FA7FB274CD,Skill 77,Common Skill,Technology,Infrastructure
BGSF76BB4765E5FA6DB,Skill 78,Certification,Problem Solving,Business Intelligence
BGS9A31554EACB12C96,Skill 79,Specialized Skill,Risk Management,Market Risk
BGS613BF7F000A31CD0,Skill 80,Specialized Skill,Data Analysis,Financial Analysis
BGS69674103CD4B289D,Skill 81,Common Skill,Customer Service,Change Management
BGSFD3C6FC98BF21A1C,Skill 82,Specialized Skill,Risk Management,Reporting
BGS43532CF36701B68B,Skill 83,Specialized Skill,Technology,Service Delivery
BGSE2694BBBFF35CB4A,Skill 84,Certification,Project Management,Presentation
BGSA7B228A62626223F,Skill 85,Common Skill,Leadership,Written Communication
BGSD53D68EE712B164A,Skill 86,Common Skill,Technology,Decision Making
BGS05D8C2B4A4A57CE5,Skill 87,Common Skill,Finance,Investment Management
BGS64C6EF53C712FCC2,Skill 88,Common Skill,Communication,Innovation
BGS374A7EAB75824403,Skill 89,Certification,Data Analysis,Critical Thinking
BGS86DB8B41D17789E1,Skill 90,Specialized Skill,Project Management,Innovation
BGSDB7CEBB6BAC2C1A9,Skill 91,Certification,Communication,Strategic Planning
BGSC1365813119768A9,Skill 92,Common Skill,Problem Solving,Reporting
BGSCA31F3F5ABFAB4CA,Skill 93,Certification,Customer Service,Investment Management
BGSB0DD5538DB918DE7,Skill 94,Certification,Customer Service,Stakeholder Management
BGS273933625420DE2D,Skill 95,Certification,Data Analysis,Infrastructure
BGS563289D2A1AB3D18,Skill 96,Certification,Technology,Infrastructure
BGS37ED83F4A7688CF0,Skill 97,Specialized Skill,Problem Solving,Software Development
BGSE269C3940D3206A8,Skill 98,Common Skill,Technology,Agile
BGSC9AD78D99D751394,Skill 99,Certification,Communication,Reporting
BGSCA67C24380AF9981,Skill 100,Common Skill,Customer Service,Critical Thinking
BGSB2F0E5D15AA70BFC,Skill 101,Common Skill,Customer Service,Data Engineering
BGS109D04781442DB46,Skill 102,Common Skill,Finance,Compliance Risk
BGS2C3DDD695A225B58,Skill 103,Specialized Skill,Project Management,Policy Management
BGS47D8FA59AB85EDDA,Skill 104,Specialized Skill,Leadership,Innovation
BGS99DE4DE626F72783,Skill 105,Certification,Problem Solving,Agile
BGS867F85D6326C5D86,Skill 106,Common Skill,Problem Solving,Service Delivery
BGSF2BD12AF1EB00902,Skill 107,Specialized Skill,Risk Management,Innovation
BGS77C6BD683FEC45C1,Skill 108,Common Skill,Leadership,Change Management
BGSEC0ED644336D9080,Skill 109,Certification,Project Management,Resource Planning
BGSB7D966A4DD977694,Skill 110,Certification,Customer Service,Regulatory Compliance
BGS3DD94511EE4759B2,Skill 111,Common Skill,Communication,Account Management
BGSDAE84369BA2D286C,Skill 112,Common Skill,Project Management,Financial Analysis
BGS01D8C060B62C4038,Skill 113,Common Skill,Leadership,Operational Risk
BGS2F3BB4316670C33E,Skill 114,Certification,Problem Solving,Innovation
BGS0F1F1F36B223C5F3,Skill 115,Specialized Skill,Technology,Stakeholder Management
BGS102227F191058EC6,Skill 116,Specialized Skill,Customer Service,Investment Management
BGS36ABA073927FA7C1,Skill 117,Common Skill,Leadership,Team Management
BGS45CC0E84FE579DA8,Skill 118,Certification,Project Management,Waterfall
BGS8AA6C40ACB710860,Skill 119,Specialized Skill,Risk Management,Decision Making
BGS1F761D1A46FFAD47,Skill 120,Specialized Skill,Project Management,Investment Management
BGSC3216E8191155167,Skill 121,Certification,Project Management,Resource Planning
BGS908A5ADC9082AB20,Skill 122,Certification,Leadership,Compliance Risk
BGSDC7F649EB46D35C4,Skill 123,Common Skill,Risk Management,Innovation
BGSA9897AEECDE76629,Skill 124,Specialized Skill,Data Analysis,Infrastructure
BGSCFA4A60837C712A0,Skill 125,Certification,Data Analysis,Client Support
BGSDC128D1858523168,Skill 126,Specialized Skill,Risk Management,Waterfall
BGS4C18B3A39E473ED4,Skill 127,Specialized Skill,Communication,Written Communication
BGS7587AA88456B4275,Skill 128,Specialized Skill,Communication,Service Delivery
BGS13C5CF0466C82BCF,Skill 129,Common Skill,Data Analysis,Investment Management
BGS18834E924515D485,Skill 130,Certification,Customer Service,Innovation
BGSDFF2AB2571047AE3,Skill 131,Certification,Technology,Presentation
BGSA9574D13B156C53B,Skill 132,Certification,Finance,Team Management
BGS7F6DFD9F890F914B,Skill 133,Specialized Skill,Leadership,Strategic Planning
BGSD61F4E95897051F0,Skill 134,Common Skill,Compliance,Risk Assessment
BGSABF752CDD92377DF,Skill 135,Specialized Skill,Technology,Agile
BGS15326418442E36F9,Skill 136,Common Skill,Project Management,Agile
BGS10AD36971AE2E1E9,Skill 137,Specialized Skill,Data Analysis,Audit
BGS3262E0F847EC70ED,Skill 138,Specialized Skill,Customer Service,Agile
BGS7CE6C0A5E40A824E,Skill 139,Common Skill,Customer Service,Waterfall
BGSB064E1B4D663A4EF,Skill 140,Common Skill,Finance,Financial Analysis
BGS8637E995EB248AE1,Skill 141,Common Skill,Compliance,Software Development
BGS3575C56D46F99FD0,Skill 142,Specialized Skill,Project Management,Change Management
BGS7FB076845061CEFC,Skill 143,Specialized Skill,Communication,Investment Management
BGS37CCA228522FF0C4,Skill 144,Common Skill,Project Management,Reporting
BGSA70EDAFE07470EC7,Skill 145,Specialized Skill,Finance,Written Communication
BGS1857D68645A3CDAF,Skill 146,Certification,Risk Management,Resource Planning
BGS83BD39DB5AA5F1A8,Skill 147,Certification,Data Analysis,Operational Risk
BGS9DEF4348E7286E11,Skill 148,Specialized Skill,Problem Solving,Critical Thinking
BGSB738B225298AE73C,Skill 149,Common Skill,Compliance,Presentation
BGSA3EF8593E3E30945,Skill 150,Certification,Data Analysis,Client Support
BGS551B4049B5564112,Skill 151,Certification,Risk Management,Market Risk
BGSCCD1DC3DBB902050,Skill 152,Common Skill,Finance,Presentation
BGS72A1052745E40BB2,Skill 153,Certification,Leadership,Infrastructure
BGS2676EB1EC2236C65,Skill 154,Specialized Skill,Technology,Service Delivery
BGSE375F8233538702D,Skill 155,Common Skill,Problem Solving,Waterfall
BGS5907E9B7D8A0BAD4,Skill 156,Specialized Skill,Leadership,Regulatory Compliance
BGS71A01F9A1059FD94,Skill 157,Specialized Skill,Project Management,Software Development
BGS55CEFBFDF8BE7E44,Skill 158,Common Skill,Communication,Business Intelligence
BGS6B34A0AFE38229BD,Skill 159,Common Skill,Data Analysis,Reporting
BGS24D06ACAC4395DE6,Skill 160,Certification,Technology,Client Support
BGS762F7C3EB4945D68,Skill 161,Certification,Data Analysis,Agile
BGSF2DA4B50E7F6AE06,Skill 162,Specialized Skill,Risk Management,Policy Management
BGS92786C4862FF1DC1,Skill 163,Specialized Skill,Data Analysis,Regulatory Compliance
BGSA3017BF30718FAEF,Skill 164,Common Skill,Technology,Operational Risk
BGS450E956D3A2A3A16,Skill 165,Specialized Skill,Customer Service,Innovation
BGS7292777959F9FC65,Skill 166,Specialized Skill,Customer Service,Compliance Risk
BGSCAF06BF3DBAE7FF5,Skill 167,Certification,Risk Management,Innovation
BGS5B702DECA668CACD,Skill 168,Specialized Skill,Risk Management,Resource Planning
BGS58EE0728988328EB,Skill 169,Specialized Skill,Problem Solving,Service Delivery
BGS0A1ACE4E9C2FDF88,Skill 170,Common Skill,Problem Solving,Risk Assessment
BGSA02E0A77A0C08048,Skill 171,Specialized Skill,Leadership,Service Delivery
BGSD588AFF4F8AC141B,Skill 172,Certification,Leadership,Stakeholder Management
BGSBFD06506CE545B57,Skill 173,Certification,Finance,Policy Management
BGSE8C415B9B0EC3DA4,Skill 174,Specialized Skill,Data Analysis,Policy Management
BGS276AF579C834086F,Skill 175,Certification,Project Management,Client Support
BGS51CBA7991F429C35,Skill 176,Common Skill,Project Management,Compliance Risk
BGSF5A401FD711B20BB,Skill 177,Certification,Technology,Market Risk
BGSF141C6634DFFE262,Skill 178,Common Skill,Leadership,Waterfall
BGS35D684DF97C71770,Skill 179,Certification,Communication,Innovation
BGSC9815E6FDACEF01A,Skill 180,Certification,Problem Solving,Agile
BGSD77CED05C952F3B6,Skill 181,Specialized Skill,Risk Management,Presentation
BGS3F80D06874151232,Skill 182,Certification,Customer Service,Audit
BGS405258051647DA61,Skill 183,Common Skill,Communication,Agile
BGSD8D0A77EE38106F0,Skill 184,Specialized Skill,Project Management,Infrastructure
BGS68FF3C37591423BD,Skill 185,Specialized Skill,Compliance,Financial Analysis
BGS2EC655BDB1405E9D,Skill 186,Specialized Skill,Data Analysis,Operational Risk
BGS7C4E2B9791910386,Skill 187,Certification,Leadership,Audit
BGS676D3A584FD49F5F,Skill 188,Specialized Skill,Leadership,Strategic Planning
BGSE0073AB2A62008CA,Skill 189,Specialized Skill,Customer Service,Financial Analysis
BGS1B12078C61AF0465,Skill 190,Certification,Customer Service,Statistical Analysis
BGS95660FDEF965418B,Skill 191,Common Skill,Compliance,Critical Thinking
BGS20A5AEE02FCBD0DD,Skill 192,Certification,Project Management,Risk Assessment
BGS6EB9C55B54F2FE17,Skill 193,Common Skill,Finance,Risk Assessment
BGS50BB27EF1F04421A,Skill 194,Certification,Risk Management,Audit
BGS647C614BA2AE7F0B,Skill 195,Specialized Skill,Data Analysis,Client Support
BGS537A78736954B4D6,Skill 196,Certification,Customer Service,Financial Analysis
BGS8F408D50ED7F1474,Skill 197,Specialized Skill,Project Management,Decision Making
BGS694EA7A4D913E826,Skill 198,Specialized Skill,Problem Solving,Market Risk
BGS6241E4FC6CB2DD84,Skill 199,Certification,Problem Solving,Operational Risk
BGS6DDF5780D8FD1455,Skill 200,Common Skill,Leadership,Software Development
BGS978742C979B343CD,Skill 201,Certification,Communication,Strategic Planning
BGS47B67BADDE3A5C8F,Skill 202,Common Skill,Technology,Team Management
BGS6AA77A7DEB5F6504,Skill 203,Certification,Project Management,Client Support
BGSFAB5FBEC9F823252,Skill 204,Specialized Skill,Data Analysis,Infrastructure
BGSFADAAEFCCD50E58C,Skill 205,Common Skill,Risk Management,Stakeholder Management
BGSAAF12C855ACAC03C,Skill 206,Common Skill,Finance,Financial Analysis
BGS9BE9D9D33963C29B,Skill 207,Specialized Skill,Customer Service,Software Development
BGSB18229595B523540,Skill 208,Common Skill,Technology,Strategic Planning
BGSDF95DA3F31D6DC2E,Skill 209,Certification,Risk Management,Financial Analysis
BGS59BAA4491819317D,Skill 210,Certification,Compliance,Business Intelligence
BGSED766CD3634E10FB,Skill 211,Common Skill,Customer Service,Compliance Risk
BGSC8CDFCA658869774,Skill 212,Specialized Skill,Problem Solving,Critical Thinking
BGS9053D3AE8E51B3B7,Skill 213,Common Skill,Finance,Policy Management
BGS232FB83B11DE6F54,Skill 214,Certification,Problem Solving,Investment Management
BGSEA47B4D4F14913A7,Skill 215,Specialized Skill,Data Analysis,Operational Risk
BGS198C5AACA4063CC7,Skill 216,Common Skill,Technology,Stakeholder Management
BGS060048009D24606A,Skill 217,Certification,Project Management,Decision Making
BGS341B131C08F9FC62,Skill 218,Certification,Problem Solving,Strategic Planning
BGSBE84E9C43392669C,Skill 219,Certification,Communication,Written Communication
BGS75164E4881B12AD5,Skill 220,Common Skill,Compliance,Compliance Risk
BGS0BB421CFDC2BCDA3,Skill 221,Specialized Skill,Risk Management,Business Intelligence
BGS550ECEFA57D826F9,Skill 222,Specialized Skill,Data Analysis,Statistical Analysis
BGS48831BA824D8A6CC,Skill 223,Common Skill,Risk Management,Strategic Planning
BGS1DE3FC7F9259D77A,Skill 224,Certification,Communication,Statistical Analysis
BGSA56DF1C5FB3DCCC4,Skill 225,Common Skill,Technology,Presentation
BGS47A444F261E530E5,Skill 226,Specialized Skill,Customer Service,Presentation
BGS757053868910C0C9,Skill 227,Common Skill,Compliance,Innovation
BGS5E03244B4509B2E2,Skill 228,Specialized Skill,Compliance,Infrastructure
BGS0C97F8C2CA380482,Skill 229,Specialized Skill,Customer Service,Policy Management
BGSAC9703B83AD4D0D6,Skill 230,Specialized Skill,Data Analysis,Presentation
BGSB5474A919C2A478D,Skill 231,Specialized Skill,Finance,Decision Making
BGS3827EE358E5B1E5B,Skill 232,Specialized Skill,Compliance,Stakeholder Management
BGS72B44F0CCF098D35,Skill 233,Certification,Leadership,Software Development
BGS89F136DE8832689C,Skill 234,Certification,Customer Service,Presentation
BGS84FA8BFE6B9EF2C2,Skill 235,Specialized Skill,Risk Management,Presentation
BGS2BAEAE22E29B09A0,Skill 236,Specialized Skill,Leadership,Account Management
BGSC7FE7F0A48802BC3,Skill 237,Specialized Skill,Leadership,Service Delivery
BGSE4E9223B590D3D0C,Skill 238,Common Skill,Leadership,Stakeholder Management
BGS3092570A0A29DF22,Skill 239,Certification,Customer Service,Infrastructure
BGS88AA58C04E0D7136,Skill 240,Specialized Skill,Risk Management,Critical Thinking
BGS8EB425969718A913,Skill 241,Specialized Skill,Technology,Investment Management
BGSAA574DB565FA29D7,Skill 242,Common Skill,Communication,Resource Planning
BGS0CFB4EBCDC24667C,Skill 243,Specialized Skill,Technology,Critical Thinking
BGS93D2B83F397708E6,Skill 244,Common Skill,Customer Service,Regulatory Compliance
BGS8C3931FFB7DC4133,Skill 245,Common Skill,Problem Solving,Strategic Planning
BGSABFE4889F772AE6E,Skill 246,Certification,Problem Solving,Waterfall
BGSA845A1156F88B951,Skill 247,Common Skill,Communication,Decision Making
BGS76C4F629DAF525E0,Skill 248,Certification,Compliance,Investment Management
BGS486A6DB5E052B843,Skill 249,Specialized Skill,Customer Service,Presentation
BGSA77CEFD88E0EAD15,Skill 250,Certification,Leadership,Change Management
BGSC7FF0B7993D32F6C,Skill 251,Certification,Compliance,Compliance Risk
BGS9EF83C03D80B1E15,Skill 252,Common Skill,Finance,Infrastructure
BGS78D6FCAB96CAC5EA,Skill 253,Certification,Finance,Resource Planning
BGS93E728601F3DBB60,Skill 254,Common Skill,Problem Solving,Financial Analysis
BGS06B29C04010530F8,Skill 255,Specialized Skill,Risk Management,Investment Management
BGS0DC956AAAEF0AC5B,Skill 256,Common Skill,Leadership,Infrastructure
BGS21D921B3E71D90E6,Skill 257,Certification,Finance,Reporting
BGS5190CBF8622F1F77,Skill 258,Specialized Skill,Problem Solving,Decision Making
BGS71BE3103EB578C06,Skill 259,Certification,Data Analysis,Statistical Analysis
BGS330C5BCED0412CD7,Skill 260,Specialized Skill,Technology,Reporting
BGSFBEE0154A59960D3,Skill 261,Certification,Leadership,Team Management
BGSFF25C4AFBDEE4BA4,Skill 262,Common Skill,Risk Management,Written Communication
BGS4C7553A5D3236BFA,Skill 263,Certification,Project Management,Critical Thinking
BGS0F5014FB33429F5D,Skill 264,Common Skill,Communication,Critical Thinking
BGS360E450600F08101,Skill 265,Common Skill,Data Analysis,Market Risk
BGSB67713A29CCFDC66,Skill 266,Certification,Problem Solving,Written Communication
BGSE1502BEAFF588048,Skill 267,Common Skill,Finance,Service Delivery
BGS7AE4391F0DB15987,Skill 268,Certification,Compliance,Stakeholder Management
BGSB89D48E5063F2FAC,Skill 269,Specialized Skill,Compliance,Risk Assessment
BGSE33F12ACD1DCA86A,Skill 270,Certification,Communication,Stakeholder Management
BGSAFCA2B0B5B941A13,Skill 271,Certification,Project Management,Financial Analysis
BGS7B82C7DF7FF918C8,Skill 272,Specialized Skill,Project Management,Change Management
BGS2B41A7A8971859E8,Skill 273,Specialized Skill,Communication,Data Engineering
BGS75A3B798AC2CB877,Skill 274,Certification,Technology,Business Intelligence
BGS20D7198AA51B1FE6,Skill 275,Common Skill,Leadership,Account Management
BGS0BCA4936588B1215,Skill 276,Specialized Skill,Technology,Innovation
BGS4826DE4B1F425265,Skill 277,Specialized Skill,Risk Management,Risk Assessment
BGS9890915FD148FA7C,Skill 278,Specialized Skill,Finance,Compliance Risk
BGSE823CBA9D7FCA569,Skill 279,Certification,Project Management,Risk Assessment
BGS4F95CF5162A7EA67,Skill 280,Common Skill,Risk Management,Audit
BGS5D283FCF402ADD2B,Skill 281,Certification,Customer Service,Regulatory Compliance
BGS256DEC5DD546F320,Skill 282,Specialized Skill,Project Management,Financial Analysis
BGSF967C5542FC07A01,Skill 283,Specialized Skill,Technology,Innovation
BGS98C530DAA89DC1DF,Skill 284,Specialized Skill,Technology,Service Delivery
BGSE83170F35912C93C,Skill 285,Specialized Skill,Project Management,Critical Thinking
BGS6F47CC3963758159,Skill 286,Certification,Communication,Regulatory Compliance
BGS05E26813934EFAE7,Skill 287,Common Skill,Problem Solving,Risk Assessment
BGSD6053B41C414212D,Skill 288,Certification,Compliance,Operational Risk
BGS68F195870A5B9AF4,Skill 289,Common Skill,Compliance,Data Engineering
BGS71F95D63216C51CA,Skill 290,Certification,Risk Management,Regulatory Compliance
BGS354EA99B1C27B784,Skill 291,Specialized Skill,Finance,Account Management
BGS7D9A44451EFF0AEE,Skill 292,Common Skill,Risk Management,Business Intelligence
BGSDB332ED8489A054A,Skill 293,Common Skill,Project Management,Team Management
BGS2955CA4A3CB5AD00,Skill 294,Common Skill,Technology,Strategic Planning
BGS9591787FB9954561,Skill 295,Certification,Project Management,Resource Planning
BGS6CAC3789B249D429,Skill 296,Specialized Skill,Data Analysis,Financial Analysis
BGS04FA50AA1C0BA245,Skill 297,Certification,Customer Service,Market Risk
BGSE5A997A8058BF91B,Skill 298,Specialized Skill,Leadership,Account Management
BGS21F8FF071A0ABBD5,Skill 299,Common Skill,Compliance,Financial Analysis
BGS3B704321DFAFBE1D,Skill 300,Specialized Skill,Compliance,Statistical Analysis
BGSBE176B8F16709C81,Skill 301,Specialized Skill,Finance,Market Risk
BGS654391E9EBDB910A,Skill 302,Common Skill,Data Analysis,Resource Planning
BGS2E7C8852630380B0,Skill 303,Specialized Skill,Finance,Written Communication
BGSBF7337B1352432B3,Skill 304,Certification,Customer Service,Business Intelligence
BGS3242680071F92F9D,Skill 305,Common Skill,Customer Service,Regulatory Compliance
BGSC97CF49E4657AA62,Skill 306,Specialized Skill,Customer Service,Stakeholder Management
BGS6745A8368AEFDBA2,Skill 307,Common Skill,Project Management,Data Engineering
BGS4181E82CD6CA8553,Skill 308,Common Skill,Customer Service,Risk Assessment
BGSD00BB75E9CC37EA0,Skill 309,Common Skill,Data Analysis,Presentation
BGSF3F3E3D047A7BC53,Skill 310,Certification,Communication,Resource Planning
BGS9A82D1DFBE2349F7,Skill 311,Certification,Compliance,Policy Management
BGS77E1D8996E04E242,Skill 312,Common Skill,Risk Management,Statistical Analysis
BGSDE6D518FDA22D603,Skill 313,Specialized Skill,Data Analysis,Operational Risk
BGS34729076CEF7F660,Skill 314,Common Skill,Customer Service,Stakeholder Management
BGSD7E70939BE329AA8,Skill 315,Common Skill,Leadership,Regulatory Compliance
BGSF0A7C2E3D2E65B51,Skill 316,Specialized Skill,Technology,Compliance Risk
BGS310F1CD6B3D469EC,Skill 317,Common Skill,Customer Service,Service Delivery
BGS26B5CCE6065C1EDA,Skill 318,Specialized Skill,Problem Solving,Operational Risk
BGSA2C2FAAA881258CE,Skill 319,Common Skill,Project Management,Software Development
BGSDCC029AF54A90615,Skill 320,Certification,Project Management,Account Management
BGS7B1E6978B6CCEAA4,Skill 321,Common Skill,Communication,Client Support
BGSD35C3142E339030D,Skill 322,Certification,Problem Solving,Stakeholder Management
BGS6CD009E6B0AA0288,Skill 323,Certification,Finance,Infrastructure
BGS70D1255DE0BFE938,Skill 324,Specialized Skill,Customer Service,Agile
BGS93CF2610D021F471,Skill 325,Specialized Skill,Project Management,Resource Planning
BGS6E26D380F3754861,Skill 326,Certification,Problem Solving,Financial Analysis
BGS112A8CA007ABD541,Skill 327,Common Skill,Risk Management,Account Management
BGSF51246EEBECEB8AC,Skill 328,Common Skill,Project Management,Investment Management
BGS5E98F206F167703C,Skill 329,Certification,Finance,Software Development
BGS79F769C6329C47BF,Skill 330,Certification,Technology,Statistical Analysis
BGS4650FFEB5D7B2396,Skill 331,Specialized Skill,Risk Management,Stakeholder Management
BGSD1F87712BF386F81,Skill 332,Common Skill,Problem Solving,Policy Management
BGS46DD7A5D447EC376,Skill 333,Specialized Skill,Compliance,Reporting
BGSB2C5EE61A921CDB7,Skill 334,Specialized Skill,Risk Management,Stakeholder Management
BGS340ADD839991262D,Skill 335,Common Skill,Technology,Critical Thinking
BGS712C9639B0AB9D70,Skill 336,Common Skill,Data Analysis,Statistical Analysis
BGS1D856BC1DFAE9EF3,Skill 337,Specialized Skill,Project Management,Stakeholder Management
BGS7F01EF4761360DAE,Skill 338,Specialized Skill,Leadership,Infrastructure
BGS9DA78B513F722F36,Skill 339,Certification,Leadership,Account Management
BGS30841C3698088BF0,Skill 340,Specialized Skill,Finance,Decision Making
BGS7B5F4CA73C36545D,Skill 341,Common Skill,Communication,Operational Risk
BGS8EE2FD735023007F,Skill 342,Certification,Technology,Business Intelligence
BGS08C1DB56709A00ED,Skill 343,Specialized Skill,Compliance,Written Communication
BGSB792D0D5B968ADBB,Skill 344,Certification,Risk Management,Regulatory Compliance
BGS6015EDB5123CE464,Skill 345,Common Skill,Problem Solving,Business Intelligence
BGS90776506ED3D922C,Skill 346,Specialized Skill,Problem Solving,Policy Management
BGS34DC74FCA9EB3337,Skill 347,Specialized Skill,Customer Service,Presentation
BGS9328453225A8F3BD,Skill 348,Certification,Finance,Team Management
BGS6D9F39EBD2E3F728,Skill 349,Common Skill,Compliance,Risk Assessment
BGS1B187072EBC23CB4,Skill 350,Common Skill,Compliance,Agile
BGSFA6E41AE09F9AC4F,Skill 351,Common Skill,Finance,Written Communication
BGSCC3145B7BAEF73EF,Skill 352,Certification,Risk Management,Statistical Analysis
BGS0C52919ADAD2FD9A,Skill 353,Certification,Problem Solving,Account Management
BGSF148CD1BEC5835A0,Skill 354,Certification,Leadership,Financial Analysis
