skill_id,name,skill_type,category,subcategory,description,aliases,related_skills,prerequisites
BGSCD53F202D2C3C170,Skill 35,SPECIALIZED,Technology,Financial Analysis,,[],[],[]
BGS42B03569BCBE390C,Skill 36,CERTIFICATION,Problem Solving,Market Risk,,[],[],[]
BGSBEAAEC7D7EDCDE8D,Skill 37,SPECIALIZED,Compliance,Resource Planning,,[],[],[]
BGSE161EA438EC0E17B,Skill 38,CERTIFICATION,Risk Management,Critical Thinking,,[],[],[]
BGS868BDF8199948EE5,Skill 39,CERTIFICATION,Compliance,Service Delivery,,[],[],[]
BGS9F628512D08E9813,Skill 40,CERTIFICATION,Customer Service,Operational Risk,,[],[],[]
BGSE6469947071267CB,Skill 41,COMMON,Customer Service,Market Risk,,[],[],[]
BGSF6DC080BDE4B8370,Skill 42,COMMON,Customer Service,Reporting,,[],[],[]
BGS582C65F09AD8BA07,Skill 43,COMMON,Project Management,Policy Management,,[],[],[]
BGS24BA9472F80BAA08,Skill 44,CERTIFICATION,Leadership,Business Intelligence,,[],[],[]
BGS88CB12FD5BD96332,Skill 45,SPECIALIZED,Risk Management,Service Delivery,,[],[],[]
BGS9AED0C3DB70CD76A,Skill 46,COMMON,Customer Service,Resource Planning,,[],[],[]
BGS2C8B432A5B6C872A,Skill 47,SPECIALIZED,Risk Management,Data Engineering,,[],[],[]
BGSFE22A2E813EB1AAB,Skill 48,COMMON,Problem Solving,Regulatory Compliance,,[],[],[]
BGSEE61E067B7E15C07,Skill 49,COMMON,Data Analysis,Reporting,,[],[],[]
BGSFED339B7DF4ABB1F,Skill 50,SPECIALIZED,Project Management,Service Delivery,,[],[],[]
BGS4B4932D98FD9FBEC,Skill 51,SPECIALIZED,Compliance,Statistical Analysis,,[],[],[]
BGSEEA7EECE18BB4F1D,Skill 52,SPECIALIZED,Communication,Innovation,,[],[],[]
BGS50E474A65C01288A,Skill 53,SPECIALIZED,Data Analysis,Reporting,,[],[],[]
BGS52A1184A523F6C12,Skill 54,SPECIALIZED,Leadership,Policy Management,,[],[],[]
BGSEF4E18B0CC407CCE,Skill 55,COMMON,Compliance,Account Management,,[],[],[]
BGS6FF40D74E58748CD,Skill 56,COMMON,Customer Service,Service Delivery,,[],[],[]
BGS627A495F64394018,Skill 57,SPECIALIZED,Communication,Decision Making,,[],[],[]
BGS2A757D19E8BE4C00,Skill 58,COMMON,Technology,Critical Thinking,,[],[],[]
BGS7B3AA9B8A9366131,Skill 59,CERTIFICATION,Leadership,Compliance Risk,,[],[],[]
BGSF6311B8E2A4C5D26,Skill 60,COMMON,Customer Service,Software Development,,[],[],[]
BGS4B3F106F3412346D,Skill 61,CERTIFICATION,Compliance,Client Support,,[],[],[]
BGS42608B3B45A48902,Skill 62,SPECIALIZED,Leadership,Critical Thinking,,[],[],[]
BGSB42BA99672094EE4,Skill 63,SPECIALIZED,Data Analysis,Policy Management,,[],[],[]
BGS753D87295FDDC4F9,Skill 64,COMMON,Data Analysis,Reporting,,[],[],[]
BGS32DBD6E0B672ACD5,Skill 65,COMMON,Communication,Data Engineering,,[],[],[]
BGS8ABCDA831D428F0C,Skill 66,COMMON,Risk Management,Operational Risk,,[],[],[]
BGSF8FD5B5A9CDE1795,Skill 67,SPECIALIZED,Finance,Statistical Analysis,,[],[],[]
BGS25C41C9F5AC6D7A4,Skill 68,COMMON,Project Management,Account Management,,[],[],[]
BGS47EE801698C7CC17,Skill 69,COMMON,Communication,Compliance Risk,,[],[],[]
BGSF69E83C71FAFCF0C,Skill 70,CERTIFICATION,Project Management,Data Engineering,,[],[],[]
BGS8FD512224D49A660,Skill 71,SPECIALIZED,Compliance,Presentation,,[],[],[]
BGS5F57C5E952D1924A,Skill 72,CERTIFICATION,Problem Solving,Market Risk,,[],[],[]
BGSA5CFC1F97B06F756,Skill 73,SPECIALIZED,Risk Management,Infrastructure,,[],[],[]
BGSC83EBDC5340ED9AE,Skill 74,SPECIALIZED,Compliance,Market Risk,,[],[],[]
BGS7265804E9EACA8AF,Skill 75,SPECIALIZED,Project Management,Strategic Planning,,[],[],[]
BGS8EB44311AEF79BEF,Skill 76,COMMON,Compliance,Investment Management,,[],[],[]
BGS27B366FA7FB274CD,Skill 77,COMMON,Technology,Infrastructure,,[],[],[]
BGSF76BB4765E5FA6DB,Skill 78,CERTIFICATION,Problem Solving,Business Intelligence,,[],[],[]
BGS9A31554EACB12C96,Skill 79,SPECIALIZED,Risk Management,Market Risk,,[],[],[]
BGS613BF7F000A31CD0,Skill 80,SPECIALIZED,Data Analysis,Financial Analysis,,[],[],[]
BGS69674103CD4B289D,Skill 81,COMMON,Customer Service,Change Management,,[],[],[]
BGSFD3C6FC98BF21A1C,Skill 82,SPECIALIZED,Risk Management,Reporting,,[],[],[]
BGS43532CF36701B68B,Skill 83,SPECIALIZED,Technology,Service Delivery,,[],[],[]
BGSE2694BBBFF35CB4A,Skill 84,CERTIFICATION,Project Management,Presentation,,[],[],[]
BGSA7B228A62626223F,Skill 85,COMMON,Leadership,Written Communication,,[],[],[]
BGSD53D68EE712B164A,Skill 86,COMMON,Technology,Decision Making,,[],[],[]
BGS05D8C2B4A4A57CE5,Skill 87,COMMON,Finance,Investment Management,,[],[],[]
BGS64C6EF53C712FCC2,Skill 88,COMMON,Communication,Innovation,,[],[],[]
BGS374A7EAB75824403,Skill 89,CERTIFICATION,Data Analysis,Critical Thinking,,[],[],[]
BGS86DB8B41D17789E1,Skill 90,SPECIALIZED,Project Management,Innovation,,[],[],[]
BGSDB7CEBB6BAC2C1A9,Skill 91,CERTIFICATION,Communication,Strategic Planning,,[],[],[]
BGSC1365813119768A9,Skill 92,COMMON,Problem Solving,Reporting,,[],[],[]
BGSCA31F3F5ABFAB4CA,Skill 93,CERTIFICATION,Customer Service,Investment Management,,[],[],[]
BGSB0DD5538DB918DE7,Skill 94,CERTIFICATION,Customer Service,Stakeholder Management,,[],[],[]
BGS273933625420DE2D,Skill 95,CERTIFICATION,Data Analysis,Infrastructure,,[],[],[]
BGS563289D2A1AB3D18,Skill 96,CERTIFICATION,Technology,Infrastructure,,[],[],[]
BGS37ED83F4A7688CF0,Skill 97,SPECIALIZED,Problem Solving,Software Development,,[],[],[]
BGSE269C3940D3206A8,Skill 98,COMMON,Technology,Agile,,[],[],[]
BGSC9AD78D99D751394,Skill 99,CERTIFICATION,Communication,Reporting,,[],[],[]
BGSCA67C24380AF9981,Skill 100,COMMON,Customer Service,Critical Thinking,,[],[],[]
BGSB2F0E5D15AA70BFC,Skill 101,COMMON,Customer Service,Data Engineering,,[],[],[]
BGS109D04781442DB46,Skill 102,COMMON,Finance,Compliance Risk,,[],[],[]
BGS2C3DDD695A225B58,Skill 103,SPECIALIZED,Project Management,Policy Management,,[],[],[]
BGS47D8FA59AB85EDDA,Skill 104,SPECIALIZED,Leadership,Innovation,,[],[],[]
BGS99DE4DE626F72783,Skill 105,CERTIFICATION,Problem Solving,Agile,,[],[],[]
BGS867F85D6326C5D86,Skill 106,COMMON,Problem Solving,Service Delivery,,[],[],[]
BGSF2BD12AF1EB00902,Skill 107,SPECIALIZED,Risk Management,Innovation,,[],[],[]
BGS77C6BD683FEC45C1,Skill 108,COMMON,Leadership,Change Management,,[],[],[]
BGSEC0ED644336D9080,Skill 109,CERTIFICATION,Project Management,Resource Planning,,[],[],[]
BGSB7D966A4DD977694,Skill 110,CERTIFICATION,Customer Service,Regulatory Compliance,,[],[],[]
BGS3DD94511EE4759B2,Skill 111,COMMON,Communication,Account Management,,[],[],[]
BGSDAE84369BA2D286C,Skill 112,COMMON,Project Management,Financial Analysis,,[],[],[]
BGS01D8C060B62C4038,Skill 113,COMMON,Leadership,Operational Risk,,[],[],[]
BGS2F3BB4316670C33E,Skill 114,CERTIFICATION,Problem Solving,Innovation,,[],[],[]
BGS0F1F1F36B223C5F3,Skill 115,SPECIALIZED,Technology,Stakeholder Management,,[],[],[]
BGS102227F191058EC6,Skill 116,SPECIALIZED,Customer Service,Investment Management,,[],[],[]
BGS36ABA073927FA7C1,Skill 117,COMMON,Leadership,Team Management,,[],[],[]
BGS45CC0E84FE579DA8,Skill 118,CERTIFICATION,Project Management,Waterfall,,[],[],[]
BGS8AA6C40ACB710860,Skill 119,SPECIALIZED,Risk Management,Decision Making,,[],[],[]
BGS1F761D1A46FFAD47,Skill 120,SPECIALIZED,Project Management,Investment Management,,[],[],[]
BGSC3216E8191155167,Skill 121,CERTIFICATION,Project Management,Resource Planning,,[],[],[]
BGS908A5ADC9082AB20,Skill 122,CERTIFICATION,Leadership,Compliance Risk,,[],[],[]
BGSDC7F649EB46D35C4,Skill 123,COMMON,Risk Management,Innovation,,[],[],[]
BGSA9897AEECDE76629,Skill 124,SPECIALIZED,Data Analysis,Infrastructure,,[],[],[]
BGSCFA4A60837C712A0,Skill 125,CERTIFICATION,Data Analysis,Client Support,,[],[],[]
BGSDC128D1858523168,Skill 126,SPECIALIZED,Risk Management,Waterfall,,[],[],[]
BGS4C18B3A39E473ED4,Skill 127,SPECIALIZED,Communication,Written Communication,,[],[],[]
BGS7587AA88456B4275,Skill 128,SPECIALIZED,Communication,Service Delivery,,[],[],[]
BGS13C5CF0466C82BCF,Skill 129,COMMON,Data Analysis,Investment Management,,[],[],[]
BGS18834E924515D485,Skill 130,CERTIFICATION,Customer Service,Innovation,,[],[],[]
BGSDFF2AB2571047AE3,Skill 131,CERTIFICATION,Technology,Presentation,,[],[],[]
BGSA9574D13B156C53B,Skill 132,CERTIFICATION,Finance,Team Management,,[],[],[]
BGS7F6DFD9F890F914B,Skill 133,SPECIALIZED,Leadership,Strategic Planning,,[],[],[]
BGSD61F4E95897051F0,Skill 134,COMMON,Compliance,Risk Assessment,,[],[],[]
BGSABF752CDD92377DF,Skill 135,SPECIALIZED,Technology,Agile,,[],[],[]
BGS15326418442E36F9,Skill 136,COMMON,Project Management,Agile,,[],[],[]
BGS10AD36971AE2E1E9,Skill 137,SPECIALIZED,Data Analysis,Audit,,[],[],[]
BGS3262E0F847EC70ED,Skill 138,SPECIALIZED,Customer Service,Agile,,[],[],[]
BGS7CE6C0A5E40A824E,Skill 139,COMMON,Customer Service,Waterfall,,[],[],[]
BGSB064E1B4D663A4EF,Skill 140,COMMON,Finance,Financial Analysis,,[],[],[]
BGS8637E995EB248AE1,Skill 141,COMMON,Compliance,Software Development,,[],[],[]
BGS3575C56D46F99FD0,Skill 142,SPECIALIZED,Project Management,Change Management,,[],[],[]
BGS7FB076845061CEFC,Skill 143,SPECIALIZED,Communication,Investment Management,,[],[],[]
BGS37CCA228522FF0C4,Skill 144,COMMON,Project Management,Reporting,,[],[],[]
BGSA70EDAFE07470EC7,Skill 145,SPECIALIZED,Finance,Written Communication,,[],[],[]
BGS1857D68645A3CDAF,Skill 146,CERTIFICATION,Risk Management,Resource Planning,,[],[],[]
BGS83BD39DB5AA5F1A8,Skill 147,CERTIFICATION,Data Analysis,Operational Risk,,[],[],[]
BGS9DEF4348E7286E11,Skill 148,SPECIALIZED,Problem Solving,Critical Thinking,,[],[],[]
BGSB738B225298AE73C,Skill 149,COMMON,Compliance,Presentation,,[],[],[]
BGSA3EF8593E3E30945,Skill 150,CERTIFICATION,Data Analysis,Client Support,,[],[],[]
BGS551B4049B5564112,Skill 151,CERTIFICATION,Risk Management,Market Risk,,[],[],[]
BGSCCD1DC3DBB902050,Skill 152,COMMON,Finance,Presentation,,[],[],[]
BGS72A1052745E40BB2,Skill 153,CERTIFICATION,Leadership,Infrastructure,,[],[],[]
BGS2676EB1EC2236C65,Skill 154,SPECIALIZED,Technology,Service Delivery,,[],[],[]
BGSE375F8233538702D,Skill 155,COMMON,Problem Solving,Waterfall,,[],[],[]
BGS5907E9B7D8A0BAD4,Skill 156,SPECIALIZED,Leadership,Regulatory Compliance,,[],[],[]
BGS71A01F9A1059FD94,Skill 157,SPECIALIZED,Project Management,Software Development,,[],[],[]
BGS55CEFBFDF8BE7E44,Skill 158,COMMON,Communication,Business Intelligence,,[],[],[]
BGS6B34A0AFE38229BD,Skill 159,COMMON,Data Analysis,Reporting,,[],[],[]
BGS24D06ACAC4395DE6,Skill 160,CERTIFICATION,Technology,Client Support,,[],[],[]
BGS762F7C3EB4945D68,Skill 161,CERTIFICATION,Data Analysis,Agile,,[],[],[]
BGSF2DA4B50E7F6AE06,Skill 162,SPECIALIZED,Risk Management,Policy Management,,[],[],[]
BGS92786C4862FF1DC1,Skill 163,SPECIALIZED,Data Analysis,Regulatory Compliance,,[],[],[]
BGSA3017BF30718FAEF,Skill 164,COMMON,Technology,Operational Risk,,[],[],[]
BGS450E956D3A2A3A16,Skill 165,SPECIALIZED,Customer Service,Innovation,,[],[],[]
BGS7292777959F9FC65,Skill 166,SPECIALIZED,Customer Service,Compliance Risk,,[],[],[]
BGSCAF06BF3DBAE7FF5,Skill 167,CERTIFICATION,Risk Management,Innovation,,[],[],[]
BGS5B702DECA668CACD,Skill 168,SPECIALIZED,Risk Management,Resource Planning,,[],[],[]
BGS58EE0728988328EB,Skill 169,SPECIALIZED,Problem Solving,Service Delivery,,[],[],[]
BGS0A1ACE4E9C2FDF88,Skill 170,COMMON,Problem Solving,Risk Assessment,,[],[],[]
BGSA02E0A77A0C08048,Skill 171,SPECIALIZED,Leadership,Service Delivery,,[],[],[]
BGSD588AFF4F8AC141B,Skill 172,CERTIFICATION,Leadership,Stakeholder Management,,[],[],[]
BGSBFD06506CE545B57,Skill 173,CERTIFICATION,Finance,Policy Management,,[],[],[]
BGSE8C415B9B0EC3DA4,Skill 174,SPECIALIZED,Data Analysis,Policy Management,,[],[],[]
BGS276AF579C834086F,Skill 175,CERTIFICATION,Project Management,Client Support,,[],[],[]
BGS51CBA7991F429C35,Skill 176,COMMON,Project Management,Compliance Risk,,[],[],[]
BGSF5A401FD711B20BB,Skill 177,CERTIFICATION,Technology,Market Risk,,[],[],[]
BGSF141C6634DFFE262,Skill 178,COMMON,Leadership,Waterfall,,[],[],[]
BGS35D684DF97C71770,Skill 179,CERTIFICATION,Communication,Innovation,,[],[],[]
BGSC9815E6FDACEF01A,Skill 180,CERTIFICATION,Problem Solving,Agile,,[],[],[]
BGSD77CED05C952F3B6,Skill 181,SPECIALIZED,Risk Management,Presentation,,[],[],[]
BGS3F80D06874151232,Skill 182,CERTIFICATION,Customer Service,Audit,,[],[],[]
BGS405258051647DA61,Skill 183,COMMON,Communication,Agile,,[],[],[]
BGSD8D0A77EE38106F0,Skill 184,SPECIALIZED,Project Management,Infrastructure,,[],[],[]
BGS68FF3C37591423BD,Skill 185,SPECIALIZED,Compliance,Financial Analysis,,[],[],[]
BGS2EC655BDB1405E9D,Skill 186,SPECIALIZED,Data Analysis,Operational Risk,,[],[],[]
BGS7C4E2B9791910386,Skill 187,CERTIFICATION,Leadership,Audit,,[],[],[]
BGS676D3A584FD49F5F,Skill 188,SPECIALIZED,Leadership,Strategic Planning,,[],[],[]
BGSE0073AB2A62008CA,Skill 189,SPECIALIZED,Customer Service,Financial Analysis,,[],[],[]
BGS1B12078C61AF0465,Skill 190,CERTIFICATION,Customer Service,Statistical Analysis,,[],[],[]
BGS95660FDEF965418B,Skill 191,COMMON,Compliance,Critical Thinking,,[],[],[]
BGS20A5AEE02FCBD0DD,Skill 192,CERTIFICATION,Project Management,Risk Assessment,,[],[],[]
BGS6EB9C55B54F2FE17,Skill 193,COMMON,Finance,Risk Assessment,,[],[],[]
BGS50BB27EF1F04421A,Skill 194,CERTIFICATION,Risk Management,Audit,,[],[],[]
BGS647C614BA2AE7F0B,Skill 195,SPECIALIZED,Data Analysis,Client Support,,[],[],[]
BGS537A78736954B4D6,Skill 196,CERTIFICATION,Customer Service,Financial Analysis,,[],[],[]
BGS8F408D50ED7F1474,Skill 197,SPECIALIZED,Project Management,Decision Making,,[],[],[]
BGS694EA7A4D913E826,Skill 198,SPECIALIZED,Problem Solving,Market Risk,,[],[],[]
BGS6241E4FC6CB2DD84,Skill 199,CERTIFICATION,Problem Solving,Operational Risk,,[],[],[]
BGS6DDF5780D8FD1455,Skill 200,COMMON,Leadership,Software Development,,[],[],[]
BGS978742C979B343CD,Skill 201,CERTIFICATION,Communication,Strategic Planning,,[],[],[]
BGS47B67BADDE3A5C8F,Skill 202,COMMON,Technology,Team Management,,[],[],[]
BGS6AA77A7DEB5F6504,Skill 203,CERTIFICATION,Project Management,Client Support,,[],[],[]
BGSFAB5FBEC9F823252,Skill 204,SPECIALIZED,Data Analysis,Infrastructure,,[],[],[]
BGSFADAAEFCCD50E58C,Skill 205,COMMON,Risk Management,Stakeholder Management,,[],[],[]
BGSAAF12C855ACAC03C,Skill 206,COMMON,Finance,Financial Analysis,,[],[],[]
BGS9BE9D9D33963C29B,Skill 207,SPECIALIZED,Customer Service,Software Development,,[],[],[]
BGSB18229595B523540,Skill 208,COMMON,Technology,Strategic Planning,,[],[],[]
BGSDF95DA3F31D6DC2E,Skill 209,CERTIFICATION,Risk Management,Financial Analysis,,[],[],[]
BGS59BAA4491819317D,Skill 210,CERTIFICATION,Compliance,Business Intelligence,,[],[],[]
BGSED766CD3634E10FB,Skill 211,COMMON,Customer Service,Compliance Risk,,[],[],[]
BGSC8CDFCA658869774,Skill 212,SPECIALIZED,Problem Solving,Critical Thinking,,[],[],[]
BGS9053D3AE8E51B3B7,Skill 213,COMMON,Finance,Policy Management,,[],[],[]
BGS232FB83B11DE6F54,Skill 214,CERTIFICATION,Problem Solving,Investment Management,,[],[],[]
BGSEA47B4D4F14913A7,Skill 215,SPECIALIZED,Data Analysis,Operational Risk,,[],[],[]
BGS198C5AACA4063CC7,Skill 216,COMMON,Technology,Stakeholder Management,,[],[],[]
BGS060048009D24606A,Skill 217,CERTIFICATION,Project Management,Decision Making,,[],[],[]
BGS341B131C08F9FC62,Skill 218,CERTIFICATION,Problem Solving,Strategic Planning,,[],[],[]
BGSBE84E9C43392669C,Skill 219,CERTIFICATION,Communication,Written Communication,,[],[],[]
BGS75164E4881B12AD5,Skill 220,COMMON,Compliance,Compliance Risk,,[],[],[]
BGS0BB421CFDC2BCDA3,Skill 221,SPECIALIZED,Risk Management,Business Intelligence,,[],[],[]
BGS550ECEFA57D826F9,Skill 222,SPECIALIZED,Data Analysis,Statistical Analysis,,[],[],[]
BGS48831BA824D8A6CC,Skill 223,COMMON,Risk Management,Strategic Planning,,[],[],[]
BGS1DE3FC7F9259D77A,Skill 224,CERTIFICATION,Communication,Statistical Analysis,,[],[],[]
BGSA56DF1C5FB3DCCC4,Skill 225,COMMON,Technology,Presentation,,[],[],[]
BGS47A444F261E530E5,Skill 226,SPECIALIZED,Customer Service,Presentation,,[],[],[]
BGS757053868910C0C9,Skill 227,COMMON,Compliance,Innovation,,[],[],[]
BGS5E03244B4509B2E2,Skill 228,SPECIALIZED,Compliance,Infrastructure,,[],[],[]
BGS0C97F8C2CA380482,Skill 229,SPECIALIZED,Customer Service,Policy Management,,[],[],[]
BGSAC9703B83AD4D0D6,Skill 230,SPECIALIZED,Data Analysis,Presentation,,[],[],[]
BGSB5474A919C2A478D,Skill 231,SPECIALIZED,Finance,Decision Making,,[],[],[]
BGS3827EE358E5B1E5B,Skill 232,SPECIALIZED,Compliance,Stakeholder Management,,[],[],[]
BGS72B44F0CCF098D35,Skill 233,CERTIFICATION,Leadership,Software Development,,[],[],[]
BGS89F136DE8832689C,Skill 234,CERTIFICATION,Customer Service,Presentation,,[],[],[]
BGS84FA8BFE6B9EF2C2,Skill 235,SPECIALIZED,Risk Management,Presentation,,[],[],[]
BGS2BAEAE22E29B09A0,Skill 236,SPECIALIZED,Leadership,Account Management,,[],[],[]
BGSC7FE7F0A48802BC3,Skill 237,SPECIALIZED,Leadership,Service Delivery,,[],[],[]
BGSE4E9223B590D3D0C,Skill 238,COMMON,Leadership,Stakeholder Management,,[],[],[]
BGS3092570A0A29DF22,Skill 239,CERTIFICATION,Customer Service,Infrastructure,,[],[],[]
BGS88AA58C04E0D7136,Skill 240,SPECIALIZED,Risk Management,Critical Thinking,,[],[],[]
BGS8EB425969718A913,Skill 241,SPECIALIZED,Technology,Investment Management,,[],[],[]
BGSAA574DB565FA29D7,Skill 242,COMMON,Communication,Resource Planning,,[],[],[]
BGS0CFB4EBCDC24667C,Skill 243,SPECIALIZED,Technology,Critical Thinking,,[],[],[]
BGS93D2B83F397708E6,Skill 244,COMMON,Customer Service,Regulatory Compliance,,[],[],[]
BGS8C3931FFB7DC4133,Skill 245,COMMON,Problem Solving,Strategic Planning,,[],[],[]
BGSABFE4889F772AE6E,Skill 246,CERTIFICATION,Problem Solving,Waterfall,,[],[],[]
BGSA845A1156F88B951,Skill 247,COMMON,Communication,Decision Making,,[],[],[]
BGS76C4F629DAF525E0,Skill 248,CERTIFICATION,Compliance,Investment Management,,[],[],[]
BGS486A6DB5E052B843,Skill 249,SPECIALIZED,Customer Service,Presentation,,[],[],[]
BGSA77CEFD88E0EAD15,Skill 250,CERTIFICATION,Leadership,Change Management,,[],[],[]
BGSC7FF0B7993D32F6C,Skill 251,CERTIFICATION,Compliance,Compliance Risk,,[],[],[]
BGS9EF83C03D80B1E15,Skill 252,COMMON,Finance,Infrastructure,,[],[],[]
BGS78D6FCAB96CAC5EA,Skill 253,CERTIFICATION,Finance,Resource Planning,,[],[],[]
BGS93E728601F3DBB60,Skill 254,COMMON,Problem Solving,Financial Analysis,,[],[],[]
BGS06B29C04010530F8,Skill 255,SPECIALIZED,Risk Management,Investment Management,,[],[],[]
BGS0DC956AAAEF0AC5B,Skill 256,COMMON,Leadership,Infrastructure,,[],[],[]
BGS21D921B3E71D90E6,Skill 257,CERTIFICATION,Finance,Reporting,,[],[],[]
BGS5190CBF8622F1F77,Skill 258,SPECIALIZED,Problem Solving,Decision Making,,[],[],[]
BGS71BE3103EB578C06,Skill 259,CERTIFICATION,Data Analysis,Statistical Analysis,,[],[],[]
BGS330C5BCED0412CD7,Skill 260,SPECIALIZED,Technology,Reporting,,[],[],[]
BGSFBEE0154A59960D3,Skill 261,CERTIFICATION,Leadership,Team Management,,[],[],[]
BGSFF25C4AFBDEE4BA4,Skill 262,COMMON,Risk Management,Written Communication,,[],[],[]
BGS4C7553A5D3236BFA,Skill 263,CERTIFICATION,Project Management,Critical Thinking,,[],[],[]
BGS0F5014FB33429F5D,Skill 264,COMMON,Communication,Critical Thinking,,[],[],[]
BGS360E450600F08101,Skill 265,COMMON,Data Analysis,Market Risk,,[],[],[]
BGSB67713A29CCFDC66,Skill 266,CERTIFICATION,Problem Solving,Written Communication,,[],[],[]
BGSE1502BEAFF588048,Skill 267,COMMON,Finance,Service Delivery,,[],[],[]
BGS7AE4391F0DB15987,Skill 268,CERTIFICATION,Compliance,Stakeholder Management,,[],[],[]
BGSB89D48E5063F2FAC,Skill 269,SPECIALIZED,Compliance,Risk Assessment,,[],[],[]
BGSE33F12ACD1DCA86A,Skill 270,CERTIFICATION,Communication,Stakeholder Management,,[],[],[]
BGSAFCA2B0B5B941A13,Skill 271,CERTIFICATION,Project Management,Financial Analysis,,[],[],[]
BGS7B82C7DF7FF918C8,Skill 272,SPECIALIZED,Project Management,Change Management,,[],[],[]
BGS2B41A7A8971859E8,Skill 273,SPECIALIZED,Communication,Data Engineering,,[],[],[]
BGS75A3B798AC2CB877,Skill 274,CERTIFICATION,Technology,Business Intelligence,,[],[],[]
BGS20D7198AA51B1FE6,Skill 275,COMMON,Leadership,Account Management,,[],[],[]
BGS0BCA4936588B1215,Skill 276,SPECIALIZED,Technology,Innovation,,[],[],[]
BGS4826DE4B1F425265,Skill 277,SPECIALIZED,Risk Management,Risk Assessment,,[],[],[]
BGS9890915FD148FA7C,Skill 278,SPECIALIZED,Finance,Compliance Risk,,[],[],[]
BGSE823CBA9D7FCA569,Skill 279,CERTIFICATION,Project Management,Risk Assessment,,[],[],[]
BGS4F95CF5162A7EA67,Skill 280,COMMON,Risk Management,Audit,,[],[],[]
BGS5D283FCF402ADD2B,Skill 281,CERTIFICATION,Customer Service,Regulatory Compliance,,[],[],[]
BGS256DEC5DD546F320,Skill 282,SPECIALIZED,Project Management,Financial Analysis,,[],[],[]
BGSF967C5542FC07A01,Skill 283,SPECIALIZED,Technology,Innovation,,[],[],[]
BGS98C530DAA89DC1DF,Skill 284,SPECIALIZED,Technology,Service Delivery,,[],[],[]
