job_id,title,department,level,location,skills
R0015,Role 15,55000142 Legal (Manager 15),Group 6,960 High St,"BGS238D8C18F1477BAE:3,BGS0A8D08F48095FC81:3"
R0016,Role 16,55000107 Strategy (Manager 16),Group 4,583 Main St,"BGSC02BA8A77CDC5FD3:3,BGSCECEE43C3DA61CC0:3"
R0017,Role 17,55000078 Strategy (Manager 17),Group 7,167 Queen St,"BGS8C5E84C02BAF8635:3,BGS47C2FFBDEAB3F825:3,BGSA5A54478FB7011A2:3"
R0018,Role 18,55000018 Communications (Manager 18),Group 6,785 Queen St,"BGS2206FF6B3E01EA83:3,BGS892BA68E485E9F9E:3,BGSD273970ABC120267:3"
R0019,Role 19,55000053 Product (Manager 19),Group 6,304 Queen St,"BGS5D9E2B16D5364634:3,BGSB1B414CC58917CBF:3,BGS602A5FEC4D2A5426:3,BGS4CCE74B483530B85:3,BGSD3BAE2F6A74BF2C4:3"
R0020,Role 20,55000138 Strategy (Manager 20),Group 2,680 King St,"BGSE99982A6C589233E:3,BGS9371A2F80F2015B0:3"
R0021,Role 21,55000158 Facilities (Manager 21),Group 6,698 Main St,"BGSD28136FBF11A4175:3,BGS336EB8D90FD048DF:3"
R0022,Role 22,55000099 Operations (Manager 22),Group 7,527 Main St,"BGS5CF645032AE030C7:3,BGS43E7DF859BA1051F:3,BGS02E34B2AFEFD2C45:3,BGSAA7474C6ACFE110C:3"
R0023,Role 23,55000113 Facilities (Manager 23),Group 1,642 King St,"BGS7C8017450E1175F9:3,BGSAF05A90F420B4B59:3,BGS11804284BD664B5F:3,BGS502DAF09806AFF7A:3"
R0024,Role 24,55000126 Finance (Manager 24),Group 2,264 High St,"BGS29CD96CA169CAF95:3,BGSD3C1278DFCC58D48:3"
R0025,Role 25,55000157 Customer Service (Manager 25),Group 7,923 King St,"BGSA4AB3746A1FFB981:3,BGS3CC813FCB9D32587:3,BGS0EA5CEAD7569E649:3"
R0026,Role 26,55000026 Finance (Manager 26),Group 1,563 High St,"BGS471D37CD79856D9D:3,BGS41E2582DF309D751:3,BGSF01BF231417062B2:3,BGSD8CD264425B60767:3,BGS6EDEB64AC805C14F:3"
R0027,Role 27,55000026 Product (Manager 27),Group 1,34 Queen St,"BGS272C7AD35B4766BE:3,BGSFD8DB37F7A13EB06:3,BGS9BD4A5F69AE1C427:3,BGS3881676D4148CB81:3,BGS8341034DBA57D3D3:3"
R0028,Role 28,55000044 Research (Manager 28),Group 3,922 Main St,"BGS75D0CE1A4F735A83:3,BGSD834D60E5E37B043:3,BGS971B0B10F40ED624:3"
R0029,Role 29,55000113 Product (Manager 29),Group 4,758 King St,"BGS0635D1E0EFC336AE:3,BGSBB9C1A68D300315E:3"
R0030,Role 30,55000110 Product (Manager 30),Group 5,811 Queen St,"BGSA0112596D7BBF94E:3,BGS3C9535367EF1AE9B:3,BGSC8487EF13349B7C8:3"
R0031,Role 31,55000113 Strategy (Manager 31),Group 7,92 Main St,"BGS1C386B89DD2B6DE9:3,BGSA81847948C025F86:3"
R0032,Role 32,55000031 Compliance (Manager 32),Group 7,158 King St,"BGSAC1703861C90A520:3,BGS1FDEA65868C5C1DB:3"
R0033,Role 33,55000119 Technology (Manager 33),Group 1,986 Main St,"BGS50A4380D72CBF2DC:3,BGS0BCA4936588B1215:3,BGS46C85B0110786573:3"
R0034,Role 34,55000157 Legal (Manager 34),Group 7,476 Main St,"BGS1F2BF52D8AEB94E0:3,BGSFA14EA9D3D3F0AFD:3,BGSC91F1B430DBF3175:3,BGSEAD504DA44F025E9:3,BGS4A87B853936718E3:3"
R0035,Role 35,55000148 Facilities (Manager 35),Group 2,130 King St,"BGS3687A563702FE95E:3,BGS32AC394BC35005C3:3,BGS1643B944559A998F:3"
R0036,Role 36,55000140 Finance (Manager 36),Group 1,622 High St,"BGSA8A34AAD6035DA00:3,BGS48C68F177DD17286:3,BGS02E174555B132FBA:3,BGS70B2465270081904:3,BGSF76DB3BB793E5BE1:3"
R0037,Role 37,55000138 Risk (Manager 37),Group 6,129 King St,"BGSB6E5A900EA141A62:3,BGSB09760249BBEA2F5:3,BGS6E1FB08A17FADF71:3,BGS08F4FCE5060A42D7:3"
R0038,Role 38,55000052 Product (Manager 38),Group 1,151 High St,"BGSDAD81A2ACA5BB60F:3,BGS21C51B585F3A2440:3,BGSCD18F48FC3AF085B:3,BGSCE974633DC8BC313:3"
R0039,Role 39,55000125 Compliance (Manager 39),Group 3,797 High St,"BGSB485956662903670:3,BGS8A2552F1670D9700:3,BGSCF734FB65F2DDB14:3,BGSE96B1E896F60D0D0:3"
R0040,Role 40,55000075 Facilities (Manager 40),Group 1,227 Main St,"BGSDD4337465E41EAE1:3,BGS16FFECFDAA7B4B9B:3,BGS050F68797056E588:3,BGS47FDA62CAF494A4E:3,BGS84E8AA09FCE2FB1E:3"
R0041,Role 41,55000148 Research (Manager 41),Group 5,649 King St,"BGS885D46BC8C08580D:3,BGS0E071BEE46BE4786:3"
R0042,Role 42,55000168 Research (Manager 42),Group 1,82 Main St,"BGS5030337BF08BA557:3,BGS0386CAE87785FED9:3,BGS87A0E1C1654A0757:3,BGSCD3FE4ED809CC6F6:3"
R0043,Role 43,55000015 Product (Manager 43),Group 7,965 High St,"BGS85DE52CB01C0C1CF:3,BGS5162A88ACD26E95A:3,BGS29BF4C940AB688A4:3,BGS07ABBBEEE466A887:3,BGSAFB6AF5EEBF41A4B:3"
R0044,Role 44,55000170 Marketing (Manager 44),Group 5,571 High St,"BGS82712815F302288A:3,BGSF5CD413F7FD6852C:3,BGSA4072876101B65F1:3,BGS53555F2C085A2976:3,BGS86DFCBC2646E131E:3"
R0045,Role 45,55000181 Marketing (Manager 45),Group 2,163 Queen St,"BGS1262A8D0DC62ACC8:3,BGSDCEC1CF8FB96BE70:3,BGS2B9D57F92B54C627:3,BGSEB72C8FAEAE568E1:3"
R0046,Role 46,55000121 Customer Service (Manager 46),Group 2,4 Main St,"BGS0D6006ABA2ED971C:3,BGSF04E814890659FDF:3,BGS4AC32A6920191B91:3"
R0047,Role 47,55000182 Sales (Manager 47),Group 4,196 High St,"BGSFF55E46B67DD43D3:3,BGSA30F0D63BF4696E2:3,BGS9A61E94C662D5C7C:3"
R0048,Role 48,55000143 Technology (Manager 48),Group 3,756 Queen St,"BGS01647234FD700A38:3,BGS540C02B45E839AE9:3,BGS6DA16D11DC675CFA:3"
R0049,Role 49,55000120 Sales (Manager 49),Group 2,441 Queen St,"BGS21F1F715151E16CB:3,BGSAE74B69AEF11BB40:3"
R0050,Role 50,55000036 Operations (Manager 50),Group 4,340 High St,"BGS3251B6714ADDB031:3,BGS0704CDF925BE9BCE:3,BGS8EC7965FEE6B21F9:3"
R0051,Role 51,55000044 Legal (Manager 51),Group 4,432 Main St,"BGSFFA62A7DD8C37CD8:3,BGS10F8B3865B2E2147:3,BGSF5916967E91A4336:3"
R0052,Role 52,55000075 Sales (Manager 52),Group 1,889 Queen St,"BGSCD255C11F2E39723:3,BGSA1F19F3E69CEA94F:3"
R0053,Role 53,55000012 Product (Manager 53),Group 1,772 Main St,"BGSC6C925981232F594:3,BGS8D18D4C5772245EC:3,BGSF904C5CD58315867:3,BGSDCBCC66F7FBC068C:3,BGSA3CCBF54F3B9D500:3"
R0054,Role 54,55000177 Technology (Manager 54),Group 4,882 Queen St,"BGS72D11A4C7EA2A667:3,BGSE86D66C7D8199C26:3,BGS06D6161134023D3C:3,BGSFDEC34BD05253AF8:3,BGS9D2F5276B3519635:3"
R0055,Role 55,55000107 Customer Service (Manager 55),Group 4,884 Main St,"BGS708A24F06F13D072:3,BGSAA10FA473F466412:3,BGS907051ECD9A322C6:3,BGS3E442D279F28059E:3"
R0056,Role 56,55000089 HR (Manager 56),Group 5,877 High St,"BGSF6146CB570C09372:3,BGSFAB108E30027B818:3,BGSA2D79499C77FA117:3,BGSC4B0BAB619BA0031:3"
R0057,Role 57,55000141 Communications (Manager 57),Group 6,394 King St,"BGS05C997A8C40C04A7:3,BGS3830A359440D7B2E:3,BGSBA0A3DACD3629DFE:3,BGSE130A38B7C63144A:3"
R0058,Role 58,55000003 Compliance (Manager 58),Group 4,608 Main St,"BGS23A209294A7502A7:3,BGS1138E17CD115CD08:3,BGS93358E6789A6A2F8:3,BGSA310024C4284FB98:3"
R0059,Role 59,55000178 Marketing (Manager 59),Group 3,873 Queen St,"BGSD2258A6A13BA0F36:3,BGS3CA23F0108A9082D:3,BGS40356F6ABC056CF7:3"
R0060,Role 60,55000176 Customer Service (Manager 60),Group 5,699 Main St,"BGS728D644A1137C042:3,BGSC852DB89AB7F2BB7:3"
R0061,Role 61,55000096 Sales (Manager 61),Group 6,860 Main St,"BGS67011CE727D5A358:3,BGSC6352BD86FA71F80:3,BGS5A60E86D30AFB191:3,BGSB0FECE2C17090C0A:3,BGS3E99E25C775CDD11:3"
R0062,Role 62,55000138 Risk (Manager 62),Group 3,332 Queen St,"BGSD009804A590A9C99:3,BGS1079502DE3308B89:3,BGS72CA7173C63529F1:3,BGSCAAC70DD39A71744:3"
R0063,Role 63,55000199 Marketing (Manager 63),Group 7,120 High St,"BGS26D98859670920F1:3,BGSBFF4259BF5F06183:3,BGS9027E561B78A183D:3"
R0064,Role 64,55000164 Research (Manager 64),Group 6,509 Queen St,"BGS858F098CE4EF593F:3,BGSAD7C649392B94664:3,BGSB29D1FF36AEFD3C0:3"
R0065,Role 65,55000017 Technology (Manager 65),Group 1,785 King St,"BGSE3A123CF86F82E73:3,BGS61D7A8D49BB09FCB:3,BGS6744D6B43E126448:3,BGS89BFAE4DB3EEEEC5:3,BGS03D224511943040A:3"
R0066,Role 66,55000134 Risk (Manager 66),Group 6,467 King St,"BGS987568BE1ED71896:3,BGSCF03B10B63712E92:3"
R0067,Role 67,55000187 Product (Manager 67),Group 4,825 Queen St,"BGS743632C1F0807605:3,BGS1068B1D5F3A94948:3,BGS4C2AA19A896B2410:3"
R0068,Role 68,55000137 Strategy (Manager 68),Group 2,914 Main St,"BGS674DD1A8DE4DEC17:3,BGS6C9B50FC3CB52462:3,BGSFFC23980604F6169:3,BGSC6AB98A115BB4C79:3"
R0069,Role 69,55000139 Communications (Manager 69),Group 2,959 Queen St,"BGS3F1480F5892B2C20:3,BGSBE8C667B1914C2CE:3,BGS7ADF5FC3E551C116:3,BGSAD5D0EF66EEE45ED:3"
R0070,Role 70,55000017 Operations (Manager 70),Group 3,466 Queen St,"BGS5AC147CA8C77B47B:3,BGSC890D0966514068D:3,BGS48C6287936EBA469:3"
R0071,Role 71,55000104 Technology (Manager 71),Group 3,372 High St,"BGS4B96755C0708EB9B:3,BGSB5CE538F21769B46:3,BGS325B4153B094E44B:3,BGSD2E5F61F34821680:3,BGS1B6E1A615D7A2A3B:3"
R0072,Role 72,55000171 Finance (Manager 72),Group 2,973 High St,"BGS8140CE934E9401A5:3,BGS933B4D816F8215CB:3"
R0073,Role 73,55000025 Operations (Manager 73),Group 6,538 High St,"BGS707D24B6439159BD:3,BGSCD26567126308B09:3,BGSF23C196EB8D6C604:3"
R0074,Role 74,55000019 Communications (Manager 74),Group 5,986 King St,"BGS8ADD0F9827F1A56E:3,BGS7C8BAD6F864AA8B1:3,BGSC5270C97A537CEF3:3"
R0075,Role 75,55000133 Sales (Manager 75),Group 4,632 Queen St,"BGSA07761FE1239589C:3,BGSEF1306F75925EC1F:3,BGS0ACFFBFF9D40CC92:3"
R0076,Role 76,55000081 Legal (Manager 76),Group 1,240 Main St,"BGS6E518E762FDD736D:3,BGS7A62A31CBE40A529:3,BGS70566ED50F7BE174:3"
R0077,Role 77,55000002 HR (Manager 77),Group 7,31 Queen St,"BGS0D3C294088DCE637:3,BGSB5BC9154AB7A75D4:3,BGS41714663BA8EA548:3"
R0078,Role 78,55000175 Communications (Manager 78),Group 6,906 King St,"BGS1DB135ABB7B4694E:3,BGS2E7C8852630380B0:3"
R0079,Role 79,55000108 Research (Manager 79),Group 6,636 Main St,"BGS2A4A950105767DC0:3,BGS8235A1973BC9976E:3,BGS49DCF721E63CE361:3"
R0080,Role 80,55000098 Research (Manager 80),Group 1,765 King St,"BGSD5AA8988C326CA33:3,BGSC399A0F28979EB18:3,BGS5C965907FB39801F:3,BGSFD0F8D90A3A39ECC:3"
R0081,Role 81,55000149 Sales (Manager 81),Group 2,96 Main St,"BGSA7733A8C979A025B:3,BGS3A3A62569B57245B:3"
R0082,Role 82,55000189 Customer Service (Manager 82),Group 4,46 Main St,"BGS4B13FC311BBF0EFC:3,BGSDC8BB493E415AF4C:3"
R0083,Role 83,55000160 Marketing (Manager 83),Group 3,413 King St,"BGSFFA414765F5352D0:3,BGSFD890F56823EA8D8:3"
R0084,Role 84,55000089 Strategy (Manager 84),Group 7,979 Main St,"BGS6F61B491160D45AF:3,BGSED10F01FAF91D407:3,BGSD42B5DD0E10C837F:3,BGS74BEAA4795C17212:3,BGSF34C1566E3A8D925:3"
R0085,Role 85,55000003 Strategy (Manager 85),Group 7,937 King St,"BGSC142B492DEC5755C:3,BGS54D051EBF1219719:3,BGS49F1FA054C07A41D:3,BGSED712A62D9B9B844:3,BGS337AE22ACF45EE08:3"
R0086,Role 86,55000152 Technology (Manager 86),Group 6,513 King St,"BGS1DA2F54520ED70AA:3,BGS0945F820974899B5:3,BGSBC78372741E0882A:3"
R0087,Role 87,55000199 Risk (Manager 87),Group 6,561 King St,"BGSA1D5F50BF27F4EF2:3,BGS96A25311D8C2150B:3,BGS4A6A7CA7EA9315C3:3"
R0088,Role 88,55000090 Strategy (Manager 88),Group 4,437 King St,"BGSCDA2829C3284AF08:3,BGSD4DA0ED8628BB9EA:3,BGSA312B8C2C4E43F41:3,BGS6E5CE0E1D47D8918:3"
R0089,Role 89,55000121 Finance (Manager 89),Group 2,784 King St,"BGSA7B389871A16CC4A:3,BGSA54307CD3DC1F475:3,BGS831A3B55898D9350:3,BGSE1A2141435B3815C:3,BGSD237E066C4B83A72:3"
R0090,Role 90,55000145 Product (Manager 90),Group 5,610 Queen St,"BGS708B578C8FD80D7F:3,BGS1E700A7A1DDE83B9:3,BGSB4073660DE2D972D:3,BGSB12D2242581A6470:3,BGS20E69A7A24C63971:3"
R0091,Role 91,55000099 Research (Manager 91),Group 3,847 Main St,"BGS867DA4EF748DCF34:3,BGSB41817B1EDBFE998:3,BGSEE33003F394305D5:3,BGSB02A194CF9441F93:3"
R0092,Role 92,55000068 Compliance (Manager 92),Group 6,734 Queen St,"BGS3BB5FE86A9D20FF4:3,BGS60430C908771FDAC:3,BGSB90A4010657CB644:3,BGS9B6DCD10D4595F35:3,BGS7DE43DF480CCA839:3"
R0093,Role 93,55000033 Marketing (Manager 93),Group 4,372 High St,"BGS58008775B85FFCEF:3,BGS7913D9AC8E3C63D4:3,BGS46C85B0110786573:3,BGS7A7427D75714E944:3,BGSCEDA88AC9FBFFDE9:3"
R0094,Role 94,55000065 Risk (Manager 94),Group 1,440 Main St,"BGSF2C02FC2A0EE8A5E:3,BGS25EE5DC3582CC9AA:3,BGS875C69FF9CA545DC:3"
R0095,Role 95,55000182 Risk (Manager 95),Group 2,898 Queen St,"BGS35D684DF97C71770:3,BGS513E867CD1243B8C:3,BGS513A63FA99CFC4FD:3"
R0096,Role 96,55000031 Sales (Manager 96),Group 1,298 High St,"BGS68FBA489B332B85B:3,BGSB267BFB3DD8DB8BF:3"
R0097,Role 97,55000001 Facilities (Manager 97),Group 3,560 Queen St,"BGSFB5C9F5EF3BFC56B:3,BGSB19D04139D9641A7:3"
R0098,Role 98,55000126 Research (Manager 98),Group 7,571 Main St,"BGS07C6B9E748C4C523:3,BGS32D0B87AE0C46EF5:3,BGSBAC4A531B4CD7401:3,BGS6D1C9FA835F3D4C4:3"
R0099,Role 99,55000174 Strategy (Manager 99),Group 7,175 High St,"BGSCDBA7B352BA5DF41:3,BGS9E2E0B219871898F:3,BGSA3024BE7A6FECE67:3,BGS3107F970382D413A:3"
R0100,Role 100,55000073 Risk (Manager 100),Group 4,556 King St,"BGSB9E19BC7A9BF362C:3,BGS773A8B0914CA37FD:3"
R0101,Role 101,55000103 Facilities (Manager 101),Group 5,972 King St,"BGSEF6F57D79518A697:3,BGS9909065EB6CB1B0E:3,BGS910390D1597B0D4F:3,BGS825C3DE56AE9B5EF:3,BGS8B3546BD6312AC6D:3"
R0102,Role 102,55000082 HR (Manager 102),Group 7,799 King St,"BGSCA6AF28971E23D01:3,BGSF706F9E8589860CF:3,BGS1DD731310E8361EA:3,BGS6D5084324B211E6E:3"
R0103,Role 103,55000166 HR (Manager 103),Group 1,104 Main St,"BGSDE3407FB53F14F3B:3,BGSC375D74449446233:3,BGS8A233E58653B717D:3,BGS23E35239AF8844DB:3,BGS657D6A32957B32CE:3"
R0104,Role 104,55000050 Finance (Manager 104),Group 3,795 Main St,"BGS6CAE39536DBE81BF:3,BGS71A7A03E0C92AAB0:3,BGS06C8FC20F15F91F1:3,BGSCBB1BCCDAF0A055A:3"
R0105,Role 105,55000037 Sales (Manager 105),Group 3,604 Queen St,"BGS496DD3B00795E64A:3,BGS39EDA12FDBAD5683:3,BGS21E8075469470DD1:3,BGS901CB22DD76A2814:3"
R0106,Role 106,55000048 Legal (Manager 106),Group 7,190 Main St,"BGSCB41476D8746EC00:3,BGS61F8D5789B17CB15:3"
R0107,Role 107,55000178 Customer Service (Manager 107),Group 4,645 Queen St,"BGS29C94312BC649D52:3,BGS1159C43D4390CA66:3,BGS5000688AB9F9BABE:3,BGS6B131D1BA2511437:3"
R0108,Role 108,55000139 Compliance (Manager 108),Group 2,940 King St,"BGS42B1F129E5E31B4E:3,BGS97685EED287E3029:3,BGS2F6DBDA46E6CBF24:3"
R0109,Role 109,55000120 Technology (Manager 109),Group 1,187 Queen St,"BGS54312332A6ADE3BD:3,BGS40152CE68D46C547:3,BGS52ACE423A36E6904:3"
R0110,Role 110,55000196 Legal (Manager 110),Group 5,256 King St,"BGSC0677F1B9E422914:3,BGSB5B4504B0CBACF9A:3,BGSAEA21134001E4F01:3"
R0111,Role 111,55000094 Research (Manager 111),Group 2,900 King St,"BGS6C33944CE251FAAC:3,BGS51A4D7023439B078:3,BGSFD28EF845AE9037D:3,BGS09B7A85DB2D09A24:3"
R0112,Role 112,55000139 Marketing (Manager 112),Group 4,13 Queen St,"BGS5C6FB24D615A9C1F:3,BGSC7226C35D6B1A6C7:3"
R0113,Role 113,55000048 Legal (Manager 113),Group 4,51 Main St,"BGS1270B36C0B44E4DF:3,BGSA3B10F36E313C22F:3,BGS451ABC13E82C547D:3,BGSA0C9D23B10C294A5:3"
R0114,Role 114,55000157 Technology (Manager 114),Group 3,391 Main St,"BGSE40F71A79241E657:3,BGS1620FDCCF69672EB:3,BGS63F97FD02E3CB5DC:3,BGSA3C89EA748C4CA49:3"
R0115,Role 115,55000149 Facilities (Manager 115),Group 5,284 High St,"BGSC591A0341CC88EAF:3,BGSE5AD996EE767102F:3,BGSF27EB1F775F177FB:3"
R0116,Role 116,55000059 Sales (Manager 116),Group 3,219 Main St,"BGS5C5DF2887B5160FD:3,BGSF0499E9A24C2837C:3,BGS03B72305EE81780B:3"
R0117,Role 117,55000016 Sales (Manager 117),Group 6,459 King St,"BGS8946CA28A49C021E:3,BGS577B3088B2F4D3EA:3,BGS09ACCA292A9E0887:3,BGS3251B6714ADDB031:3,BGSCC192DE9004430F3:3"
R0118,Role 118,55000045 Research (Manager 118),Group 7,412 Main St,"BGS94A5D63E7ACBCA62:3,BGS84BE503EF64E7804:3,BGS6B634E1EBC67F391:3"
R0119,Role 119,55000048 Strategy (Manager 119),Group 4,173 Main St,"BGS4EB3FD0EECEED808:3,BGS5E1FCC96EE5E79A6:3"
R0120,Role 120,55000187 Technology (Manager 120),Group 2,402 High St,"BGS2F69691CDBF5E6FD:3,BGS549961AA5F9702EF:3,BGSE57BE239B4212E01:3,BGS81FEFFF39B725A3A:3"
R0121,Role 121,55000092 Research (Manager 121),Group 7,804 Queen St,"BGS9BDB0264ACA1F25B:3,BGS6ED329E0EF32ACA9:3,BGSB69FBC190887DB28:3,BGSE78C54E414086FB9:3"
R0122,Role 122,55000131 Communications (Manager 122),Group 5,732 Queen St,"BGS0706D9F153485175:3,BGS55E5FCC12809DD4D:3,BGS9FC3DFD636FB5AD1:3,BGSE1353FC1E006F458:3,BGS37E5943F451ED9CC:3"
R0123,Role 123,55000148 Legal (Manager 123),Group 3,832 High St,"BGS6224D41A54C71160:3,BGS9F3D4319FFEC9B8B:3,BGS38A8A745AD0EF65F:3"
R0124,Role 124,55000011 Risk (Manager 124),Group 1,225 Main St,"BGSCED4BA0E697B8031:3,BGSF89891452848C0E9:3"
R0125,Role 125,55000084 Technology (Manager 125),Group 7,230 High St,"BGS32C0871E9DC47BFA:3,BGS1D13A5855AB54E89:3,BGS1EE288704220CBAE:3,BGS5472465431FB53AE:3"
R0126,Role 126,55000012 Product (Manager 126),Group 4,307 Queen St,"BGSC674FD5E71F77683:3,BGS5AD74174F75B6184:3,BGS8EA4C8E8876DD58D:3,BGS9219D3FFAB82AB87:3,BGS2A9BBC5F326AF5BD:3"
R0127,Role 127,55000076 Operations (Manager 127),Group 3,357 Main St,"BGSA71D236BC4E5BD0E:3,BGSA4C13DE11843485A:3"
R0128,Role 128,55000098 Operations (Manager 128),Group 5,840 High St,"BGS0F30DFDD4F557B6E:3,BGSBBE5A6D4BF778E54:3,BGS5C2BDE46B79BFDF9:3,BGSEDEEFCFFC59B39CD:3,BGS0C57C4D863A04844:3"
R0129,Role 129,55000071 Marketing (Manager 129),Group 1,763 King St,"BGS57928270793AAFE9:3,BGSEA1CB6293147FCE7:3,BGS5ED7D9F8286650B8:3,BGS252D65AB03153BCB:3,BGSCF627D12E7D6441C:3"
R0130,Role 130,55000002 Legal (Manager 130),Group 6,655 Main St,"BGS573245AE352C6AA1:3,BGS9B2A08F842D5EF2F:3"
R0131,Role 131,55000054 Product (Manager 131),Group 7,283 High St,"BGSB0D735013B5FE814:3,BGSD995F3DCDEEB89CF:3"
R0132,Role 132,55000132 Sales (Manager 132),Group 2,8 Queen St,"BGS8D3FB1701F0095E5:3,BGS09A90508D1EC1836:3,BGS455DD4068737090C:3,BGS92FE27475326402E:3"
R0133,Role 133,55000183 Compliance (Manager 133),Group 3,878 High St,"BGS4F735079AD528CDA:3,BGS8556C305A999E8DF:3,BGS606724779B36E8B9:3,BGS96B116AF46220451:3"
R0134,Role 134,55000186 HR (Manager 134),Group 3,98 High St,"BGS36B376C4A644840B:3,BGS8CB825F21BFC785E:3,BGSB28DC5BBACCD1B67:3,BGS32A24BAF542DF3F1:3,BGSDA1B0108901B4679:3"
R0135,Role 135,55000100 Technology (Manager 135),Group 4,843 King St,"BGS9AC7E70457734E42:3,BGSD49D9541E4188C4E:3"
R0136,Role 136,55000156 Research (Manager 136),Group 2,34 High St,"BGSC2863A4EAC80748C:3,BGS50332D074B39EB5F:3,BGSB2456AFEA6E1B684:3,BGS5C5D4C6863516312:3,BGS93AFB1E6F93D1D76:3"
R0137,Role 137,55000182 Finance (Manager 137),Group 2,783 King St,"BGSC3F528174FC17279:3,BGSCB7AC72A895CB85C:3,BGS326CD48D860BB5DD:3,BGS82C84ED071349136:3,BGS38D72E26F1E7E859:3"
R0138,Role 138,55000038 Operations (Manager 138),Group 6,583 Main St,"BGS4C0205F59786FB38:3,BGS7CA5DD2CB1E749F2:3,BGS61B3EE2F8590DB34:3"
R0139,Role 139,55000075 Compliance (Manager 139),Group 5,443 Main St,"BGSAC417DFC222FDB79:3,BGS17FFEC454F9DC46B:3,BGSD930CD40B8CB5BC5:3"
R0140,Role 140,55000149 Product (Manager 140),Group 7,442 Main St,"BGS6661CD9995EB2982:3,BGS4520BE57EA6EC69B:3,BGS59174A6CE511CF2F:3"
R0141,Role 141,55000094 HR (Manager 141),Group 2,1 High St,"BGS31073C00BF0BB75C:3,BGSD4FEA32FEDB3965B:3,BGSBA9411CE966CE75B:3,BGS20A6677BEE1944DA:3"
R0142,Role 142,55000198 Product (Manager 142),Group 5,902 High St,"BGS05FB8395EA8EA421:3,BGS644AB9077D042A21:3,BGSDA1B0108901B4679:3,BGSD973F178ADA0FF2A:3,BGSA9A27EB7837D8B97:3"
R0143,Role 143,55000111 Customer Service (Manager 143),Group 5,318 High St,"BGS56CE2B1B67E8781B:3,BGS26FC07EDBD3DCC1B:3,BGSFF6A96B8D7964FA7:3,BGS1059470A29F39AFA:3"
R0144,Role 144,55000079 Operations (Manager 144),Group 7,234 Main St,"BGSFD336604518C0FB4:3,BGS19B1DCFD736926B1:3,BGS0BED76B88C1D3E57:3,BGS04D5360F8FD9F340:3,BGSC3D8CAE0B04827DD:3"
