timestamp,relative_time,process_usage_mb,total_allocated_mb,peak_allocated_mb,system_available_mb,gc_objects,reference_point
2025-05-16 11:37:25.577342,32.253,531.75,0.00,0.00,2268.30,98116,
2025-05-16 11:37:26.099377,32.775,535.12,0.00,0.00,2254.04,98117,
2025-05-16 11:37:26.613350,33.289,538.72,0.00,0.00,2249.64,98118,
2025-05-16 11:37:27.142292,33.818,542.99,0.00,0.00,2237.27,98119,
2025-05-16 11:37:27.663388,34.339,546.12,0.00,0.00,2243.43,98120,
2025-05-16 11:37:29.112387,35.788,605.49,0.00,0.00,2160.88,108612,
2025-05-16 11:37:29.633106,36.309,609.04,0.00,0.00,2157.48,108613,
2025-05-16 11:37:30.157700,36.834,612.69,0.00,0.00,2149.93,108614,
2025-05-16 11:37:30.680567,37.357,617.28,0.00,0.00,2152.03,108615,
2025-05-16 11:37:31.197525,37.873,621.11,0.00,0.00,2141.73,108616,
2025-05-16 11:37:31.719352,38.395,624.24,0.00,0.00,2140.80,108617,
2025-05-16 11:37:32.245718,38.922,628.06,0.00,0.00,2134.20,108618,
2025-05-16 11:37:32.762557,39.439,631.88,0.00,0.00,2133.34,108619,
2025-05-16 11:37:33.291414,39.967,635.02,0.00,0.00,2130.26,108620,
2025-05-16 11:37:33.807965,40.484,638.91,0.00,0.00,2130.59,108621,Begin similarity calculation
2025-05-16 11:37:35.681710,42.358,544.79,0.00,0.00,2220.82,130641,
2025-05-16 11:37:36.200489,42.876,549.52,0.00,0.00,2215.58,131045,
2025-05-16 11:37:36.727017,43.403,307.44,0.00,0.00,2434.91,80331,
2025-05-16 11:37:37.261163,43.937,309.73,0.00,0.00,2443.55,80527,
2025-05-16 11:37:37.775486,44.451,311.54,0.00,0.00,2440.81,80283,Processing complete
